2018-08-26 00:00:00,Chemnitz,Beginn der Ausschreitungen in Chemnitz
2018-09-07 00:00:00,Chemnitz,Interview mit Maaßen (Verfassungsschutz)
2018-11-05 00:00:00,Chemnitz,Antrag zu Versetzung Maaßens in den Ruhestand
2018-12-31 00:00:00,Chemnitz,Begriff Chemnitz auf Google Trends 2018 Schlagzeile Platz 4
2018-04-20 00:00:00,Hambacher,Klage von BUND gegen Tagebau Hambacher Forst
2018-09-19 00:00:00,Hambacher,Journalist stürzt von Hängebrücke und stribt
2018-10-05 00:00:00,Hambacher,Rodungsstopp durch OVG Münster
2018-12-31 00:00:00,Hambacher,Begriff Hambacher Forst auf Google Trends 2018 Schlagzeile Platz 5
2014-10-20 00:00:00,Pegida,Erste Pegida Demonstration in Dresden
2015-01-05 00:00:00,Pegida,Aktion Licht aus für Rassisten
2015-01-12 00:00:00,Pegida,Gegendemonstrationen
2015-12-31 00:00:00,Pegida,Begriff Pegida auf Google Trends 2015 Schlagzeile Platz 2
2011-03-11 00:00:00,Fukushima,Nuklearkatastrophe von Fukushima - Reihe schwerer Störfälle im japanischen Kernkraftwerk Fukushima
2011-03-14 00:00:00,Fukushima,Atom-Moratorium - Sicherheitsprüfung für alle 17 deutschen Kernkraftwerke für drei Monate
2011-03-27 00:00:00,Fukushima,Grüne bei Landtagswahl in Baden-Württemberg 2011 deutlich über 20%
2011-06-30 00:00:00,Fukushima,Beschluss des Bundestagses Atomausstieg bis 2022 und Stilllegung der 7 ältesten Kernkraftwerke
2011-12-31 00:00:00,Fukushima,Begriff Fukushima auf Google Trends 2011 Schlagzeile Platz 6
2014-03-19 00:00:00,Flüchtlinge,Zweitausend Migranten vor Italiens Küsten gerettet 
2015-12-31 00:00:00,Flüchtlinge,Begriff Flüchtlinge auf Google Trends 2015 und 2016 Schlagzeile Platz 8
2017-03-09 00:00:00,Flüchtlinge,Schließung der Balkan-Route
2018-06-20 00:00:00,Urheberrecht,Justizausschuss des EU-Parlaments stimmt den Kompromissanträgen zum Entwurf des zuständigen Axel Voss zu.
2018-07-05 00:00:00,Urheberrecht,Am 5. Juli 2018 stimmte das EU-Parlament als Ganzes nach öffentlichen Protesten zunächst gegen die Reform.
2019-03-23 00:00:00,Urheberrecht,Europaweite Demonstrationen gegen die Urheberrechtsreform der Europäischen Union
2019-03-26 00:00:00,Urheberrecht,Europaparlament dem Entwurf der Reform zu
2019-04-15 00:00:00,Urheberrecht,Mehrheit im Rat der Europäischen Union schließt Rechtsetzungsprozess ab
2015-10-10 00:00:00,Ceta,Großdemo in Berlin gegen TTIP und CETA
2017-02-15 00:00:00,Ceta,Europäisches Parlament stimmt mit großer Mehrheit dem Abkommen dem Wirtschafts- und Handelsabkommen CETA zu
2017-09-21 00:00:00,Ceta,CETA tritt vorläufig in Kraft
2018-02-07 00:00:00,Polizeiaufgabengesetz,PAG zum ersten Mal im Plenum des Bayrischen Landtags
2018-05-15 00:00:00,Polizeiaufgabengesetz,PAG im Bayrischen Landtag beschlossen
2013-07-12 00:00:00,TTIP,Erste Verhandlungsrunde 08.-12.07.2013
2016-11-08 00:00:00,TTIP,Wahl von Donald Trump zum US-Präsidenten
2016-08-28 00:00:00,TTIP,Vizekanzler Gabriel (SPD) sagte im ZDF: Die Verhandlungen mit den USA sind de facto gescheitert
2013-12-21 00:00:00,TTIP,Dritte Verhandlungsrunde